country	dimension	label	11	21	22	23	24	25	26	31	32	33	34	35	41	42	43	44	51	52	53	54	61	71	72	73	74	75	81	82	83	91	93	94	96
AUT	abilities	Explosive Strength	0.007176	0.0009946	0.0090688	0.00857	0.0023441	4.92E-06	0.011844	0.0133556	0.0796089	0.0053432	0.0633102	0.0000595	0	0.0032379	0.0053191	0.0286147	0.0058061	0.0110547	0.0497023	0.1749547	0.0113939	0.0445235	0.032046	0.0212657	0.0255448	0.0310487	0.0271842	0.0159985	0.0191436	0.0021024	0.0356008	0.0054035	0.0293624
AUT	abilities	Extent Flexibility	0.0293827	0.0111673	0.0996428	0.0392566	0.0024073	0.0302811	0.0173673	0.0991961	0.1774401	0.0156277	0.1034295	0.0716059	0.0003992	0.0126025	0.0662351	0.1508073	0.2056749	0.1069395	0.2093742	0.1803918	0.1967266	0.3527552	0.2734607	0.1565353	0.2965252	0.1832919	0.2223003	0.2236238	0.1847646	0.276715	0.268589	0.2322617	0.1941046
AUT	abilities	Far Vision	0.2381603	0.2907642	0.2457751	0.2668758	0.1991701	0.2099169	0.2218201	0.2879252	0.2260321	0.2188032	0.2487853	0.2251326	0.1850734	0.190423	0.1753083	0.2027211	0.1908263	0.1688972	0.2292558	0.3383351	0.294876	0.2607333	0.2455545	0.2326506	0.2756212	0.2241268	0.2295432	0.2230143	0.3664215	0.2023323	0.2382695	0.1547467	0.2263159
AUT	abilities	Fine Manipulative Abilities	0.0908463	0.1324996	0.2586381	0.0766013	0.0527221	0.147891	0.0798887	0.2452443	0.2688468	0.0890452	0.1418841	0.2318472	0.1422677	0.1414384	0.124236	0.1896643	0.2351602	0.1466306	0.2153029	0.1804259	0.2776253	0.3093908	0.3391681	0.3244658	0.3180234	0.3257321	0.2918246	0.3207339	0.2347181	0.1853787	0.2636307	0.2370453	0.1858086
AUT	abilities	Finger Dexterity	0.1292293	0.1930523	0.2868515	0.1302961	0.1227659	0.2111972	0.136784	0.2703978	0.279821	0.1638794	0.1642935	0.2647304	0.1784405	0.1835908	0.1733033	0.210614	0.2181829	0.1840571	0.2228694	0.1724917	0.2735185	0.2838576	0.3417647	0.3414598	0.3356639	0.3306358	0.2785474	0.3473485	0.2176096	0.1727939	0.2369818	0.1971307	0.1757755
AUT	abilities	Flexibility of Closure	0.2362066	0.3085687	0.3295049	0.2206027	0.2443902	0.2971412	0.2472252	0.2932523	0.2483726	0.2195782	0.2327835	0.2623257	0.1895092	0.1855908	0.1823059	0.1877118	0.1653573	0.1519049	0.2064743	0.3041497	0.2546072	0.2049114	0.2448764	0.2430481	0.2839826	0.2142579	0.2270214	0.2044495	0.1802485	0.1149962	0.163807	0.100887	0.1606836
AUT	abilities	Flexibility, Balance and Coordination	0.0206667	0.0056539	0.0538858	0.0282092	0.002282	0.0076316	0.0175337	0.0632218	0.1136995	0.0086111	0.0862481	0.029268	0.0033504	0.0147825	0.0312493	0.0779446	0.1059642	0.0679856	0.1167543	0.1272591	0.109367	0.2118776	0.1409815	0.0795158	0.1626309	0.0979557	0.1171146	0.1027155	0.1119336	0.1345349	0.1406799	0.1090988	0.1084053
AUT	abilities	Fluency of Ideas	0.3394114	0.4049731	0.3263456	0.329437	0.3266243	0.369597	0.3559712	0.2774127	0.2396144	0.2401476	0.272397	0.268402	0.1680408	0.1882674	0.1471597	0.1275979	0.1660247	0.2235414	0.2018052	0.1917698	0.1880744	0.1806309	0.1937713	0.2160154	0.2356513	0.1935195	0.1257907	0.1558885	0.1342361	0.0870678	0.1203886	0.0906541	0.1279529
AUT	abilities	Glare Sensitivity	0.0105893	0.0075872	0.0029445	0	0.0008329	0.0000201	0.0053237	0.0606482	0.0093742	0.0118327	0.0263428	0.0023664	0.0065012	0.0030999	0.0085014	0.0379935	0.0082986	0.0024824	0.0108259	0.1271873	0.118795	0.1079638	0.1060287	0.0293607	0.1204534	0.0329659	0.0692189	0.0665194	0.1830615	0.0238642	0.0820062	0.0316834	0.101666
AUT	abilities	Gross Body Coordination	0.0310816	0.0059905	0.0742126	0.0472519	0.0030436	0.000124	0.0292666	0.0827417	0.1539703	0.0109591	0.1261315	0.0247395	0.0065012	0.0357139	0.0363511	0.0824261	0.1441654	0.0995076	0.1481726	0.1821774	0.1345023	0.2262446	0.1552464	0.0920644	0.1565707	0.128209	0.1393769	0.104567	0.1491728	0.1628652	0.1643723	0.1405508	0.1379083
AUT	abilities	Gross Body Equilibrium	0.0217722	0.0051937	0.0409839	0.0234205	0.003601	0.0001211	0.0195222	0.0675557	0.120446	0.0075171	0.0898991	0.0207208	0.0065012	0.0107802	0.0196604	0.0623795	0.063801	0.0638911	0.0972354	0.1424486	0.0981786	0.2379977	0.1220456	0.0611448	0.1865173	0.0694929	0.096012	0.079514	0.102587	0.0845767	0.0976921	0.0483714	0.0949431
AUT	abilities	Hearing Sensitivity	0.1076164	0.1294431	0.1507059	0.1113796	0.0856833	0.1131526	0.112862	0.1773986	0.1715635	0.1065304	0.0975991	0.1428582	0.10322	0.092879	0.0712827	0.0985305	0.1112897	0.1018122	0.1439768	0.2003974	0.2559166	0.1596168	0.2464813	0.1705843	0.2124595	0.1610769	0.1945725	0.1835598	0.2197135	0.0710995	0.1445973	0.0984713	0.1315828
