id	name	group	subgroup	cat	value	country
skills_Syst_3	Management of Financial Resources	Skills	2	skills_Res_Mgmt	0.0119957	ISL
skills_Social_1	Installation	Skills	2	skills_Tech	0.0036648	ISL
know_health_1	Geography	Knowledge	2	know_math	0.0105648	ISL
skills_Basic_Cont_3	Persuasion	Skills	2	skills_Social	0.0078921	ISL
skills_Basic_Cont_4	Negotiation	Skills	2	skills_Social	0.0084857	ISL
know_math_2	Mathematics	Knowledge	2	know_math	0.0187302	ISL
know_math_1	Mechanics	Knowledge	2	know_eng	0.0066513	ISL
skills_Basic_Process_3	Equipment Selection	Skills	2	skills_Tech	0.0023345	ISL
ab_percep	Perceptual Abilities	Abilities	1	ab_percep	0.0114615	ISL
skills_read_comp	Reading Comprehension	Skills	2	skills_Basic_Cont	0.0252894	ISL
ab_endur	Endurance	Abilities	1	ab_endur	-0.0100415	ISL
ab_flex	Flexibility, Balance and Coordination	Abilities	1	ab_flex	-0.0055654	ISL
know_eng_2	Computers and Electronics	Knowledge	2	know_eng	0.0266119	ISL
skills_critical	Critical Thinking	Skills	2	skills_Basic_Process	0.0216681	ISL
ab_mem	Memory Abilities	Abilities	1	ab_mem	0.0098993	ISL
skills_act_le	Active Learning	Skills	2	skills_Basic_Process	0.0234955	ISL
skills_Basic_Process_1	Operations Analysis	Skills	2	skills_Tech	0.0190953	ISL
skills_speak	Speaking	Skills	2	skills_Basic_Cont	0.018535	ISL
skills_Res_Mgmt_2	Management of Personnel Resources	Skills	2	skills_Res_Mgmt	0.016308	ISL
ab_visual	Visual Abilities	Abilities	1	ab_visual	0.0031509	ISL
ab_audio	Auditory and Speech Abilities	Abilities	1	ab_audio	0.0046526	ISL
skills_Tech_2	Systems Analysis	Skills	2	skills_Syst	0.0238977	ISL
ab_quant	Quantitative Abilities	Abilities	1	ab_quant	0.0147203	ISL
know_com_2	Telecommunications	Knowledge	2	know_com	0.0068478	ISL
know_com_1	Law and Government	Knowledge	2	know_law	0.0201848	ISL
skills_act_li	Active Listening	Skills	2	skills_Basic_Cont	0.0163247	ISL
ab_manip	Fine Manipulative Abilities	Abilities	1	ab_manip	-0.0062785	ISL
skills_Complex_Pb_2	Equipment Maintenance	Skills	2	skills_Tech	-0.0007502	ISL
skills_Basic_Cont_6	Service Orientation	Skills	2	skills_Social	0.0048075	ISL
know_math_4	Chemistry	Knowledge	2	know_math	0.0019151	ISL
ab_control_mov	Control Movement Abilities	Abilities	1	ab_control_mov	-0.006236	ISL
know_bis_5	Customer and Personal Service	Knowledge	2	know_bis	0.0045736	ISL
ab_spatial	Spatial Abilities	Abilities	1	ab_spatial	0.0058467	ISL
know_math_3	Physics	Knowledge	2	know_math	0.0099252	ISL
know_manu_2	Production and Processing	Knowledge	2	know_manu	0.0017309	ISL
skills_Res_Mgmt_1	Management of Material Resources	Skills	2	skills_Res_Mgmt	0.0113591	ISL
skills_learning	Learning Strategies	Skills	2	skills_Basic_Process	0.0223538	ISL
know_eng	Engineering, Mechanics and Technology	Knowledge	1	know_eng	0.0180976	ISL
know_bis_3	Economics and Accounting	Knowledge	2	know_bis	0.0120815	ISL
know_trans	Transportation	Knowledge	1	know_trans	0.0000392	ISL
know_eng_1	Food Production	Knowledge	2	know_manu	-0.0037815	ITA
skills_Social_1	Installation	Skills	2	skills_Tech	0.0013789	ITA
skills_Social_2	Programming	Skills	2	skills_Tech	0.0085516	ITA
ab_verbal	Verbal Abilities	Abilities	1	ab_verbal	0.0168622	ITA
skills_Complex_Pb_5	Quality Control Analysis	Skills	2	skills_Tech	0.0051023	ITA
know_bis_4	Sales and Marketing	Knowledge	2	know_bis	0.0001368	ITA
skills_Res_Mgmt_1	Management of Material Resources	Skills	2	skills_Res_Mgmt	-0.000627	ITA
know_trans	Transportation	Knowledge	1	know_trans	-0.0024726	ITA
know_math_3	Physics	Knowledge	2	know_math	0.0060843	ITA
skills_Basic_Process_3	Equipment Selection	Skills	2	skills_Tech	0.002458	ITA
skills_Syst_1	Systems Evaluation	Skills	2	skills_Syst	0.0119636	ITA
know_health_2	Medicine and Dentistry	Knowledge	2	know_health	-0.0032528	ITA
skills_Basic_Cont_1	Social Perceptiveness	Skills	2	skills_Social	0.00408	ITA
skills_Res_Mgmt_2	Management of Personnel Resources	Skills	2	skills_Res_Mgmt	0.003217	ITA
skills_Basic_Process_2	Technology Design	Skills	2	skills_Tech	0.0055526	ITA
skills_Basic_Cont_6	Service Orientation	Skills	2	skills_Social	0.0000677	ITA
skills_Tech_1	Judgment and Decision Making	Skills	2	skills_Syst	0.0116364	ITA
skills_math	Mathematics	Skills	2	skills_Basic_Cont	0.0127719	ITA
skills_Complex_Pb_4	Repairing	Skills	2	skills_Tech	0.0034813	ITA
skills_learning	Learning Strategies	Skills	2	skills_Basic_Process	0.0093545	ITA
skills_Complex_Pb_3	Troubleshooting	Skills	2	skills_Tech	0.0024895	ITA
know_arts_2	Fine Arts	Knowledge	2	know_arts	0.0022859	ITA
know_math_2	Mathematics	Knowledge	2	know_math	0.0161308	ITA
ab_reason	Reasoning Abilities	Abilities	1	ab_reason	0.0113746	ITA
know_bis_2	Clerical	Knowledge	2	know_bis	0.0233372	ITA
