Country,occupation,status
ESP,93,surplus
ESP,94,surplus
ESP,96,surplus
FIN,11,shortage
FIN,21,shortage
FIN,22,shortage
FIN,23,shortage
FIN,24,shortage
FIN,25,shortage
FIN,26,shortage
FIN,31,shortage
FIN,32,shortage
FIN,33,shortage
FIN,34,surplus
FIN,35,shortage
FIN,41,surplus
FIN,42,surplus
FIN,43,shortage
FIN,44,surplus
FIN,51,surplus
FIN,52,surplus
FIN,53,surplus
FIN,54,surplus
FIN,61,surplus
FIN,71,surplus
FIN,72,surplus
FIN,73,shortage
FIN,74,shortage
FIN,75,surplus
FIN,81,surplus
FIN,82,surplus
FIN,83,surplus
FIN,91,surplus
FIN,93,surplus
FIN,94,surplus
FIN,96,surplus
FRA,11,shortage
FRA,21,shortage
FRA,22,surplus
FRA,23,shortage
FRA,24,surplus
FRA,25,shortage
FRA,26,surplus
FRA,31,shortage
FRA,32,shortage
FRA,33,surplus
FRA,34,surplus
FRA,35,surplus
FRA,41,shortage
FRA,42,surplus
FRA,43,surplus
FRA,44,surplus
FRA,51,surplus
FRA,52,surplus
FRA,53,surplus
FRA,54,shortage
FRA,61,shortage
FRA,71,surplus
FRA,72,shortage
FRA,73,shortage
FRA,74,shortage
FRA,75,surplus
FRA,81,surplus
FRA,82,shortage
FRA,83,surplus
FRA,91,surplus
FRA,93,surplus
FRA,94,surplus
FRA,96,shortage
HUN,11,surplus
HUN,21,surplus
HUN,22,shortage
HUN,23,shortage
HUN,24,surplus
HUN,25,surplus
HUN,26,shortage
HUN,31,surplus
HUN,32,shortage
HUN,33,shortage
HUN,34,shortage
HUN,35,shortage
HUN,41,surplus
HUN,42,surplus
HUN,43,shortage
HUN,44,surplus
HUN,51,shortage
HUN,52,shortage
HUN,53,shortage
HUN,54,shortage
HUN,61,surplus
HUN,71,surplus
HUN,72,shortage
HUN,73,surplus
HUN,74,shortage
HUN,75,surplus
HUN,81,surplus
HUN,82,surplus
HUN,83,shortage
HUN,91,shortage
HUN,93,surplus
HUN,94,surplus
HUN,96,surplus
IRL,11,shortage
IRL,21,shortage
IRL,22,shortage
IRL,23,shortage
IRL,24,surplus
IRL,25,shortage
IRL,26,shortage
IRL,31,surplus
IRL,32,surplus
IRL,33,surplus
IRL,34,shortage
IRL,35,surplus
IRL,41,shortage
IRL,42,surplus
IRL,43,shortage
IRL,44,surplus
IRL,51,shortage
IRL,52,shortage
IRL,53,shortage
IRL,54,surplus
IRL,61,shortage
IRL,71,surplus
IRL,72,shortage
IRL,73,surplus
IRL,74,surplus
IRL,75,surplus
IRL,81,surplus
IRL,82,surplus
IRL,83,surplus
IRL,91,surplus
IRL,93,surplus
IRL,94,surplus
IRL,96,surplus
ISL,11,shortage
ISL,21,shortage
ISL,22,shortage
ISL,23,shortage
ISL,24,shortage
ISL,25,shortage
ISL,26,shortage
ISL,31,shortage
ISL,32,surplus
ISL,33,shortage
ISL,34,shortage
ISL,35,shortage
ISL,41,surplus
ISL,42,surplus
ISL,43,surplus
ISL,44,surplus
ISL,51,surplus
ISL,52,surplus
ISL,53,shortage
ISL,54,shortage
ISL,61,surplus
ISL,71,shortage
ISL,72,shortage
ISL,73,surplus
ISL,74,shortage
ISL,75,shortage
ISL,81,surplus
ISL,83,surplus
ISL,91,surplus
ISL,93,surplus
ISL,94,surplus
ISL,96,surplus
ITA,11,surplus
ITA,21,shortage
ITA,22,shortage
ITA,23,shortage
ITA,24,shortage
ITA,25,shortage
ITA,26,shortage
ITA,31,shortage
ITA,32,surplus
ITA,33,shortage
ITA,34,surplus
ITA,35,shortage
ITA,41,shortage
ITA,42,surplus
ITA,43,shortage
ITA,44,shortage
ITA,51,surplus
ITA,52,surplus
ITA,53,surplus
ITA,54,surplus
ITA,61,shortage
ITA,71,surplus
ITA,72,shortage
ITA,73,surplus
ITA,74,surplus
ITA,75,shortage
ITA,81,shortage
ITA,82,shortage
ITA,83,shortage
ITA,91,surplus
ITA,93,surplus
ITA,94,shortage
ITA,96,surplus
LTU,11,shortage
LTU,21,surplus
LTU,22,shortage
LTU,23,surplus
LTU,24,shortage
LTU,25,shortage
LTU,26,shortage
LTU,31,surplus
LTU,32,surplus
LTU,33,shortage
LTU,34,shortage
LTU,35,surplus
LTU,41,shortage
LTU,42,surplus
LTU,43,surplus
LTU,44,surplus
LTU,51,shortage
LTU,52,surplus
LTU,53,surplus
LTU,54,surplus
LTU,61,shortage
LTU,71,surplus
LTU,72,shortage
LTU,73,surplus
LTU,74,surplus
LTU,75,shortage
LTU,81,shortage
LTU,82,surplus
LTU,83,shortage
LTU,91,surplus
LTU,93,surplus
LTU,94,shortage
LTU,96,surplus
LUX,11,shortage
LUX,21,shortage
LUX,22,shortage
LUX,23,shortage
LUX,24,shortage
LUX,25,shortage
LUX,26,surplus
LUX,31,surplus
LUX,32,shortage
LUX,33,shortage
LUX,34,surplus
LUX,35,shortage
LUX,41,shortage
LUX,42,surplus
LUX,43,shortage
LUX,44,shortage
LUX,51,surplus
LUX,52,surplus
LUX,53,surplus
LUX,54,shortage
LUX,61,surplus
LUX,71,surplus
LUX,72,surplus
LUX,74,shortage
LUX,75,surplus
LUX,81,surplus
LUX,83,surplus
LUX,91,surplus
LUX,93,surplus
LUX,94,surplus
LUX,96,shortage
LVA,11,shortage
LVA,21,shortage
LVA,22,shortage
LVA,23,shortage
LVA,24,surplus
LVA,25,shortage
LVA,26,shortage
LVA,31,shortage
LVA,32,shortage
LVA,33,shortage
LVA,34,surplus
LVA,35,shortage
LVA,41,shortage
LVA,42,shortage
LVA,43,surplus
LVA,44,surplus
LVA,51,shortage
LVA,52,shortage
LVA,53,shortage
LVA,54,shortage
LVA,61,surplus
LVA,71,surplus
LVA,72,shortage
LVA,73,shortage
LVA,74,shortage
LVA,75,surplus
LVA,81,surplus
LVA,82,shortage
LVA,83,shortage
LVA,91,shortage
LVA,93,surplus
LVA,94,surplus
LVA,96,surplus
NLD,11,shortage
NLD,21,shortage
NLD,22,shortage
NLD,23,shortage
NLD,24,shortage
NLD,25,shortage
NLD,26,shortage
NLD,31,surplus
NLD,32,shortage
NLD,33,surplus
NLD,34,surplus
NLD,35,shortage
NLD,41,surplus
NLD,42,shortage
NLD,43,surplus
NLD,44,surplus
NLD,51,shortage
NLD,52,surplus
NLD,53,shortage
NLD,54,surplus
NLD,61,surplus
NLD,71,surplus
NLD,72,surplus
NLD,73,surplus
NLD,74,surplus
NLD,75,surplus
NLD,81,surplus
NLD,82,surplus
NLD,83,surplus
NLD,91,shortage
NLD,93,surplus
NLD,94,surplus
NLD,96,shortage
NOR,11,shortage
NOR,21,shortage
NOR,22,surplus
NOR,23,shortage
NOR,24,shortage
NOR,25,shortage
NOR,26,shortage
NOR,31,shortage
NOR,32,surplus
NOR,33,shortage
NOR,34,shortage
NOR,35,surplus
NOR,41,shortage
NOR,42,surplus
NOR,43,surplus
NOR,44,surplus
NOR,51,shortage
NOR,52,surplus
NOR,53,surplus
NOR,54,surplus
NOR,61,surplus
NOR,71,surplus
NOR,72,shortage
NOR,73,surplus
NOR,74,surplus
NOR,75,surplus
NOR,81,surplus
NOR,83,surplus
NOR,91,shortage
NOR,93,shortage
NOR,94,shortage
NOR,96,shortage
POL,11,shortage
POL,21,shortage
POL,22,surplus
POL,23,shortage
POL,24,shortage
POL,25,shortage
POL,26,shortage
POL,31,shortage
POL,32,shortage
POL,33,surplus
POL,34,shortage
POL,35,shortage
POL,41,surplus
POL,42,surplus
POL,43,surplus
POL,44,surplus
POL,51,surplus
POL,52,surplus
POL,53,shortage
POL,54,shortage
POL,61,shortage
POL,71,surplus
POL,72,surplus
POL,73,shortage
POL,74,shortage
POL,75,surplus
POL,81,surplus
POL,82,shortage
POL,83,surplus
POL,91,surplus
POL,93,surplus
POL,94,surplus
POL,96,surplus
PRT,11,surplus
PRT,21,surplus
PRT,22,shortage
PRT,23,shortage
PRT,24,shortage
PRT,25,shortage
PRT,26,shortage
PRT,31,shortage
PRT,32,shortage
PRT,33,surplus
PRT,34,shortage
PRT,35,surplus
PRT,41,shortage
PRT,42,surplus
PRT,43,surplus
PRT,44,surplus
PRT,51,surplus
PRT,52,surplus
PRT,53,surplus
PRT,54,shortage
PRT,61,shortage
PRT,71,surplus
PRT,72,shortage
PRT,73,shortage
PRT,74,shortage
PRT,75,shortage
PRT,81,surplus
PRT,82,surplus
PRT,83,shortage
PRT,91,surplus
PRT,93,surplus
PRT,94,surplus
PRT,96,shortage
ROU,11,shortage
ROU,21,shortage
ROU,22,surplus
ROU,23,shortage
ROU,24,shortage
ROU,25,shortage
ROU,26,shortage
ROU,31,surplus
ROU,32,shortage
ROU,33,surplus
ROU,34,shortage
ROU,35,shortage
ROU,41,shortage
ROU,42,surplus
ROU,43,shortage
ROU,44,shortage
ROU,51,shortage
ROU,52,shortage
ROU,53,shortage
ROU,54,surplus
ROU,61,surplus
ROU,71,surplus
ROU,72,shortage
ROU,73,shortage
ROU,74,shortage
ROU,75,shortage
ROU,81,shortage
ROU,82,surplus
ROU,83,shortage
ROU,91,shortage
ROU,93,surplus
ROU,94,shortage
ROU,96,shortage
SWE,11,shortage
SWE,21,surplus
SWE,22,shortage
SWE,23,shortage
SWE,24,shortage
SWE,25,shortage
SWE,26,surplus
SWE,31,surplus
SWE,32,shortage
SWE,33,shortage
SWE,34,surplus
SWE,35,surplus
SWE,41,shortage
SWE,42,surplus
SWE,43,shortage
SWE,44,shortage
SWE,51,surplus
SWE,52,surplus
SWE,53,surplus
SWE,54,surplus
SWE,61,surplus
SWE,71,surplus
SWE,72,surplus
SWE,73,surplus
SWE,74,shortage
SWE,75,surplus
SWE,81,shortage
SWE,82,surplus
SWE,83,surplus
SWE,91,shortage
SWE,93,surplus
SWE,94,surplus
SWE,96,surplus
SVN,11,surplus
SVN,21,shortage
SVN,22,shortage
SVN,23,surplus
SVN,24,surplus
SVN,25,shortage
SVN,26,surplus
SVN,31,shortage
SVN,32,shortage
SVN,33,shortage
SVN,34,surplus
SVN,35,shortage
SVN,41,shortage
SVN,42,shortage
SVN,43,shortage
SVN,44,shortage
SVN,51,surplus
SVN,52,shortage
SVN,53,shortage
SVN,54,surplus
SVN,61,surplus
SVN,71,surplus
SVN,72,surplus
SVN,73,surplus
SVN,74,surplus
SVN,75,shortage
SVN,81,surplus
SVN,82,surplus
SVN,83,surplus
SVN,91,shortage
SVN,93,shortage
SVN,94,surplus
SVN,96,surplus
SVK,11,shortage
SVK,21,shortage
SVK,22,shortage
SVK,23,surplus
SVK,24,surplus
SVK,25,shortage
SVK,26,surplus
SVK,31,shortage
SVK,32,shortage
SVK,33,shortage
SVK,34,shortage
SVK,35,shortage
SVK,41,surplus
SVK,42,shortage
SVK,43,shortage
SVK,44,surplus
SVK,51,surplus
SVK,52,shortage
SVK,53,shortage
SVK,54,shortage
SVK,61,shortage
SVK,71,surplus
SVK,72,shortage
SVK,73,shortage
SVK,74,shortage
SVK,75,shortage
SVK,81,surplus
SVK,82,surplus
SVK,83,shortage
SVK,91,surplus
SVK,93,surplus
SVK,94,surplus
SVK,96,surplus
GBR,11,shortage
GBR,21,surplus
GBR,22,shortage
GBR,23,shortage
GBR,24,surplus
GBR,25,shortage
GBR,26,surplus
GBR,31,surplus
GBR,32,surplus
GBR,33,shortage
GBR,34,surplus
GBR,35,surplus
GBR,41,shortage
GBR,42,shortage
GBR,43,shortage
GBR,44,shortage
GBR,51,surplus
GBR,52,surplus
GBR,53,shortage
GBR,54,surplus
GBR,61,surplus
GBR,71,surplus
GBR,72,shortage
GBR,73,surplus
GBR,74,shortage
GBR,75,shortage
GBR,81,surplus
GBR,82,surplus
GBR,83,shortage
GBR,91,shortage
GBR,93,surplus
GBR,94,surplus
GBR,96,shortage
ZAF,11,shortage
ZAF,21,surplus
ZAF,22,shortage
ZAF,23,shortage
ZAF,24,shortage
ZAF,25,shortage
ZAF,26,shortage
ZAF,31,shortage
ZAF,32,surplus
ZAF,33,surplus
ZAF,34,surplus
ZAF,41,shortage
ZAF,42,surplus
ZAF,43,shortage
ZAF,44,surplus
ZAF,51,surplus
ZAF,52,shortage
ZAF,53,shortage
ZAF,54,shortage
ZAF,61,surplus
ZAF,71,surplus
ZAF,72,surplus
ZAF,73,surplus
ZAF,74,surplus
ZAF,75,shortage
ZAF,81,shortage
ZAF,82,shortage
ZAF,83,surplus
ZAF,91,shortage
ZAF,93,shortage
ZAF,96,surplus
